FP_ID,SENSOR_ID,VDL_ID,FROM_DATETIME,TO_DATETIME,LOCATION_ID,LAT,LON,GEproLAT,GEproLON,CLASS
5F9D,PI040298AD5I212108,SS21,2018-09-04 9:07:16,2018-10-04 9:07:16,cBdmhXvyjr1535192256090,37.13920612,-8.633161415,,,SW2p-TEST
5F14,PI040298AD5I212921,SS24,2018-09-04 9:07:16,2018-10-04 9:07:16,I7HZtYJqzw1535193132130,37.1393913,-8.6329389,,,SW3t-TEST
5FA9,PI040298AD5I212109,MN21,2018-09-04 9:07:16,2018-10-04 9:07:16,xc0XeoFooL1534867802196,37.14018467,-8.635034531,,,SW-TEST
5FB5,PI040298AD5I214031,SS25,2018-09-04 9:07:16,2018-10-04 9:07:16,o1h1i4QP8e1535193367948,37.1393913,-8.6329389,,,SW3t-TEST
5FD8,PI040298AD5I210868,SS01,2018-09-04 9:07:16,2018-10-04 9:07:16,caYV2EkhLP1535188065329,37.1391344,-8.633603493,,,SW1a-TEST
5FFA,PI040298AD5I214030,MN14,2018-09-04 9:07:16,2018-10-04 9:07:16,YOQhXfzyzk1534866511713,37.1402362,-8.634870131,,,MA-TEST
06A9,PI040298AD5I212558,TS13,2018-09-04 9:07:16,2018-10-04 9:07:16,0w8SGavObH1535451584908,37.13905877,-8.634895242,,,GRID
6A22,PI040298AD5I208350,Burgau2-6a22,2018-09-04 9:07:16,2018-10-04 9:07:16,FDCtY3Myk01534956289457,37.07200115,-8.775151506,,,
6A37,PI040298AD5I208079,FR01,2018-09-04 9:07:16,2018-10-04 9:07:16,5hI12wAFjv1531386302928,37.14005343,-8.630333879,,,GRID
6B0C,PI040298AD5I208065,TN15,2018-09-04 9:07:16,2018-10-04 9:07:16,RCVIV2w6qr1533057202798,37.13963304,-8.635647548,,,GRID
6C89,PI040298AD5I206195,TN08,2018-09-04 9:07:16,2018-10-04 9:07:16,cfL1L7jw8R1533053993040,37.13913599,-8.63555585,,,GRID
6CD4,PI040298AD5I209128,SS30,2018-09-04 9:07:16,2018-10-04 9:07:16,3cM4q8Cmdb1535216047258,37.13934434,-8.632785563,,,SW3p-TEST
6D13,PI040298AD5I209386,SS54,2018-09-04 9:07:16,2018-10-04 9:07:16,WJd2bAJl1l1535462201843,37.13918292,-8.631741071,,,GRID
6DB3,PI040298AD5I206466,TN11,2018-09-04 9:07:16,2018-10-04 9:07:16,5lgSqcOHFA1533055312558,37.13959662,-8.634834583,,,GRID
6.00E+45,PI040298AD5I209922,TN16,2018-09-04 9:07:16,2018-10-04 9:07:16,8xzMIS0Eqc1533057778332,37.13963304,-8.635647548,,,GRID
6F1C,PI040298AD5I206995,OG04,2018-09-04 9:07:16,2018-10-04 9:07:16,XWK1qUaeW41535299513915,37.14092863,-8.633318445,,,GRID
6F72,PI040298AD5I209872,TN01,2018-09-04 9:07:16,2018-10-04 9:07:16,fOsHPssg8T1533047994390,37.13913658,-8.635204343,,,GRID
07AA,PI040298AD5I212829,SS58,2018-09-04 9:07:16,2018-10-04 9:07:16,mGXhZexuNK1536583980883,37.13890786,-8.633488809,,,
7C4B,PI040298AD5I208806,TS05,2018-09-04 9:07:16,2018-10-04 9:07:16,NovY1r8ej51535454249451,37.13849409,-8.634761089,,,GRID
07CF,PI040298AD5I212610,TS12,2018-09-04 9:07:16,2018-10-04 9:07:16,IqQHZSXAIC1535452068090,37.13886105,-8.635232272,,,GRID
08CC,PI040298AD5I213175,SS35,2018-09-04 9:07:16,2018-10-04 9:07:16,xooPS0o4Ad1535217728753,37.1397136,-8.632426033,,,SW3p-TEST
8ED3,PI040298AD5I213087,TN18,2018-09-04 9:07:16,2018-10-04 9:07:16,QW1MIRi3Cs1533058905631,37.13979199,-8.634589343,,,GRID
9.00E+03,PI040298AD5I212544,OG08,2018-09-04 9:07:16,2018-10-04 9:07:16,KABUoTC0mu1535300345924,37.14069132,-8.633142653,,,GRID
9FAC,PI040298AD5G204883,TS02,2018-09-04 9:07:16,2018-10-04 9:07:16,971lMaOAbh1535455037186,37.13839599,-8.635611407,,,GRID
9FB7,PI040298AD5I211670,SB04,2018-09-04 9:07:16,2018-10-04 9:07:16,9PZhMsl9sC1535223087989,37.13875433,-8.632570252,,,GRID
9FFC,PI040298AD5I211452,TN13,2018-09-04 9:07:16,2018-10-04 9:07:16,ugWJA2HRIV1533056324298,37.13927026,-8.636140639,,,GRID
25,PI040298AD5I212473,SS23,2018-09-04 9:07:16,2018-10-04 9:07:16,R72UJzmJf01535192753018,37.13933631,-8.633137009,,,SW3a-TEST
31DD,PI040298AD5I211062,MN45,2018-09-04 9:07:16,2018-10-04 9:07:16,DxuRhI28951534873582880,37.14044754,-8.635016509,,,MA-TEST
33A1,PI040298AD5I214059,MN36,2018-09-04 9:07:16,2018-10-04 9:07:16,JGZlQjZxb61534871984747,37.14040579,-8.63541277,,,MBb-TEST
34A3,PI040298AD5I212148,MN18,2018-09-04 9:07:16,2018-10-04 9:07:16,MPOlzrTRqG1534867267756,37.14018467,-8.635034531,,,MB-TEST
3.50E+03,PI040298AD5I212141,MN07,2018-09-04 9:07:16,2018-10-04 9:07:16,HF0Z1gIeVp1534850507740,37.13984045,-8.635665486,,,HM-CONTROL
39B3,PI040298AD5I211070,SS22,2018-09-04 9:07:16,2018-10-04 9:07:16,j6F3zrWZNk1535470631365,37.13929788,-8.632910605,,,SW3a-TEST
40A0,PI040298AD5I212069,MN47,2018-09-04 9:07:16,2018-10-04 9:07:16,W4XoKIJSwt1534873927047,37.14044754,-8.635016509,,,MA-TEST
40EA,PI040298AD5G201248,TS07,2018-09-04 9:07:16,2018-10-04 9:07:16,0rdUdViCvx1535453803848,37.13874134,-8.634229643,,,GRID
41BE,PI040298AD5I211129,MN06,2018-09-04 9:07:16,2018-10-04 9:07:16,kkDlUEz5zD1534850226684,37.13988197,-8.635260695,,,HM-TEST
53C2,PI040298AD5I212999,MN40,2018-09-04 9:07:16,2018-10-04 9:07:16,oFWr3ok6EU1534872677149,37.14045986,-8.635250569,,,MCb-TEST
54AD,PI040298AD5I212982,SB08,2018-09-04 9:07:16,2018-10-04 9:07:16,o2hzUJIcfj1535456889401,37.13846285,-8.634288168,,,GRID
54AD,PI040298AD5I212982,,2018-09-04 9:07:16,2018-10-04 9:07:16,e816PTeYqx1535275312708,0,0,,,
54B8,PI040298AD5I212983,SS38,2018-09-04 9:07:16,2018-10-04 9:07:16,qTOCUc1C4a1535470213701,37.13994046,-8.631761231,,,HPG-TEST
5.50E+04,PI040298AD5I213134,SS18,2018-09-04 9:07:16,2018-10-04 9:07:16,HuMqUAsiJv1535191722844,37.13920612,-8.633161415,,,SW2b-TEST
5.70E+06,PI040298AD5I214090,MN12,2018-09-04 9:07:16,2018-10-04 9:07:16,cpTeFaY9631534851911890,37.14004631,-8.635092809,,,GRID
58A2,PI040298AD5I211785,SB03,2018-09-04 9:07:16,2018-10-04 9:07:16,UmYVVUTu5F1535222864479,37.13892811,-8.631702926,,,GRID
58DD,PI040298AD5I213561,SS45,2018-09-04 9:07:16,2018-10-04 9:07:16,sJCZG81o1O1535218842733,37.13948409,-8.632024618,,,HPG-CONTROL
59F0,PI040298AD5I209489,MN30,2018-09-04 9:07:16,2018-10-04 9:07:16,D0zqgju1ho1534870198551,37.14037604,-8.635213702,,,MB-TEST
59FF,PI040298AD5I209484,TN10,2018-09-04 9:07:16,2018-10-04 9:07:16,MGS0mfmt4q1533054943296,37.13959662,-8.634834583,,,GRID
60CB,PI040298AD5I213527,SS37,2018-09-04 9:07:16,2018-10-04 9:07:16,TCFvnJZINF1535470271518,37.13994046,-8.631761231,,,HPG-TEST
61DB,PI040298AD5I213128,MN11,2018-09-04 9:07:16,2018-10-04 9:07:16,aJ6E8KbOnk1534851640535,37.14004631,-8.635092809,,,HM-TEST
61FC,PI040298AD5I213129,SS41,2018-09-04 9:07:16,2018-10-04 9:07:16,n9vymDOacG1535218280769,37.1395201,-8.63239301,,,HPG-TEST
63B0,PI040298AD5I210900,MN28,2018-09-04 9:07:16,2018-10-04 9:07:16,cBFdbKbHoV1534869946829,37.14037604,-8.635213702,,,MA-TEST
63D4,PI040298AD5I210909,SS39,2018-09-04 9:07:16,2018-10-04 9:07:16,LnzPLFh4Jl1535217493479,0,0,37.139100°,-8.632394°,HPG-TEST
6.40E+09,PI040298AD5I206193,TN12,2018-09-04 9:07:16,2018-10-04 9:07:16,OeuHFYPaes1533055734692,37.13928641,-8.635873581,,,GRID
65BE,PI040298AD5I206183,SS47,2018-09-04 9:07:16,2018-10-04 9:07:16,UTQ9iQp32y1535218909692,0,0,37.139494°,-8.631926°,HPG-CONTROL
65C0,PI040298AD5I208428,,2018-09-04 9:07:16,2018-10-04 9:07:16,fKWmN3KTxh1535274748231,0,0,,,
65C0,PI040298AD5I208428,SB07,2018-09-04 9:07:16,2018-10-04 9:07:16,MoKTE7kpBl1535456972621,37.13846285,-8.634288168,,,GRID
6.50E+01,PI040298AD5I205993,OG02,2018-09-04 9:07:16,2018-10-04 9:07:16,y05c942uCK1535299209934,37.14094709,-8.633649414,,,GRID
66C4,PI040298AD5I205667,,2018-09-04 9:07:16,2018-10-04 9:07:16,J1zIe514IJ1535279682786,0,0,,,
66C4,PI040298AD5I205667,TS04,2018-09-04 9:07:16,2018-10-04 9:07:16,QCXimA0HlX1535454572288,37.13852327,-8.635104033,,,GRID
91AA,PI040298AD5I213076,TN04,2018-09-04 9:07:16,2018-10-04 9:07:16,JNuengmuMj1533050904745,37.13942732,-8.635135566,,,GRID
95B0,PI040298AD5I211401,SB05,2018-09-04 9:07:16,2018-10-04 9:07:16,Ne6qoADmUA1535263656315,37.13872807,-8.632917977,,,GRID
95F5,PI040298AD5I211673,WZ02,2018-09-04 9:07:16,2018-10-04 9:07:16,30FPO7dgWk1535276956614,0,0,37.138147°,-8.635956°,GRID
249F,PI040298AD5I212667,SS08,2018-09-04 9:07:16,2018-10-04 9:07:16,15VPzoVR991535190110536,37.13923201,-8.633432432,,,SW1b-TEST
316E,PI040298AD5I213432,MN23,2018-09-04 9:07:16,2018-10-04 9:07:16,3hYvj31drJ1534868180078,37.14031525,-8.63510937,,,MCb-TEST
321D,PI040298AD5I211052,SS06,2018-09-04 9:07:16,2018-10-04 9:07:16,WUI2nn0kXs1535189281290,37.13929881,-8.63355263,,,SW1b-TEST
334B,PI040298AD5I212031,SS05,2018-09-04 9:07:16,2018-10-04 9:07:16,GoIyvC38cb1535189050554,37.13929881,-8.63355263,,,SW1t-TEST
391F,PI040298AD5I212373,SS10,2018-09-04 9:07:16,2018-10-04 9:07:16,FyUNIBCebU1535190533951,37.13913081,-8.633390528,,,SW1p-TEST
392B,PI040298AD5I213420,MN05,2018-09-04 9:07:16,2018-10-04 9:07:16,mDOSxUTaS01534849950866,37.13988197,-8.635260695,,,HM-CONTROL
533F,PI040298AD5I213454,ER02,2018-09-04 9:07:16,2018-10-04 9:07:16,tax5p6Okho1535449241608,37.14087107,-8.632553019,,,GRID
536D,PI040298AD5I213235,SS14,2018-09-04 9:07:16,2018-10-04 9:07:16,Mdu87uI2Rp1535191450191,37.13931035,-8.633197488,,,SW2t-TEST
553F,PI040298AD5I213035,SB09,2018-09-04 9:07:16,2018-10-04 9:07:16,8xgiIQ6Zt11535456761202,37.13846285,-8.634288168,,,GRID
564,PI040298AD5I213170,ER01,2018-09-04 9:07:16,2018-10-04 9:07:16,or2Co8W8C61535299808350,0,0,37.140820°,-8.632846°,GRID
575,PI040298AD5I213167,TS11,2018-09-04 9:07:16,2018-10-04 9:07:16,92aKeQ9DKG1535452625664,37.13878464,-8.634965537,,,GRID
586F,PI040298AD5I212106,SB01,2018-09-04 9:07:16,2018-10-04 9:07:16,LnsQRG3RFc1535222293129,0,0,37.138983°,-8.631052°,GRID
587C,PI040298AD5I214089,MN42,2018-09-04 9:07:16,2018-10-04 9:07:16,YOk9ARZHTb1534873026030,37.14045986,-8.635250569,,,MBb-TEST
608E,PI040298AD5I213531,MN19,2018-09-04 9:07:16,2018-10-04 9:07:16,pQXMgrvKtg1534867440980,37.14018467,-8.635034531,,,MBb-TEST
630F,PI040298AD5I213008,WZ03,2018-09-04 9:07:16,2018-10-04 9:07:16,Tv8dtSq9mz1535277593531,0,0,37.138214°,-8.636191°,GRID
632D,PI040298AD5I213126,SS12,2018-09-04 9:07:16,2018-10-04 9:07:16,3gv8CwiSgl1535190867317,37.13913081,-8.633390528,,,SW2a-TEST
635,PI040298AD5I212947,SS17,2018-09-04 9:07:16,2018-10-04 9:07:16,DCE5cdXtpX1535192093776,37.13920612,-8.633161415,,,SW2b-TEST
640D,PI040298AD5I213859,MN25,2018-09-04 9:07:16,2018-10-04 9:07:16,fI5ZO61PA41534868523233,0,0,37.140200°,-8.635155°,SW-TEST
641D,PI040298AD5I213854,MN43,2018-09-04 9:07:16,2018-10-04 9:07:16,IF46U0xAuo1534873235737,37.14045986,-8.635250569,,,MB-TEST
642E,PI040298AD5I213124,TS01,2018-09-04 9:07:16,2018-10-04 9:07:16,5ABw42EwZS1535279371573,37.13837397,-8.635637283,,,GRID
671D,PI040298AD5I208783,MN35,2018-09-04 9:07:16,2018-10-04 9:07:16,J4U3lKlFOa1533049255044,37.13913719,-8.635203345,,,MC-TEST
676F,PI040298AD5I207989,MN24,2018-09-04 9:07:16,2018-10-04 9:07:16,sWnfofyy9K1534871826986,37.14040579,-8.63541277,,,MC-TEST
716B,PI040298AD5G205297,SS49,2018-09-04 9:07:16,2018-10-04 9:07:16,8c3gu0NhT61534868334994,37.14031525,-8.63510937,,,GRID
808,PI040298AD5I212562,TS08,2018-09-04 9:07:16,2018-10-04 9:07:16,kb5zTZkY401535219454442,37.13982148,-8.632140842,,,GRID
876,PI040298AD5I212535,WZ05,2018-09-04 9:07:16,2018-10-04 9:07:16,sUUIJFT7cL1535453451771,37.13889966,-8.633962412,,,GRID
926F,PI040298AD5I213081,SB02,2018-09-04 9:07:16,2018-10-04 9:07:16,VmsfTVaWvU1535455620265,37.13845093,-8.636200872,,,GRID
947E,PI040298AD5I213936,TN06,2018-09-04 9:07:16,2018-10-04 9:07:16,YaOFT1wYaN1535222231822,37.1389363,-8.631648086,,,GRID
983A,PI040298AD5I209329,MN17,2018-09-04 9:07:16,2018-10-04 9:07:16,FJxIP0Z0VK1533051680469,37.13942732,-8.635135566,,,SW-TEST
1099,PI040298AD5I211178,MN08,2018-09-04 9:07:16,2018-10-04 9:07:16,ub684UMsBv1534867121078,37.14018467,-8.635034531,,,HM-TEST
1108,PI040298AD5I212991,SS53,2018-09-04 9:07:16,2018-10-04 9:07:16,K1wPau6XEM1534850765904,37.13984045,-8.635665486,,,GRID
1659,PI040298AD5I213912,MN38,2018-09-04 9:07:16,2018-10-04 9:07:16,nSc3coxo561535220123471,37.1392109,-8.630932905,,,MAb-TEST
2187,PI040298AD5I212668,SS13,2018-09-04 9:07:16,2018-10-04 9:07:16,Dp4ZyYkwhh1534872315473,37.14040579,-8.63541277,,,SW2a-TEST
3100,PI040298AD5I213451,WZ04,2018-09-04 9:07:16,2018-10-04 9:07:16,o2qYk7uYgD1535191040151,37.13913081,-8.633390528,,,GRID
3120,PI040298AD5I213018,MN33,2018-09-04 9:07:16,2018-10-04 9:07:16,ciigV4Z3Uf1535277546589,0,0,37.140346°,-8.635351°,MC-TEST
3136,PI040298AD5I213444,SS11,2018-09-04 9:07:16,2018-10-04 9:07:16,2qkTIALEHg1534871175465,37.14023621,-8.635430149,,,SW2a-TEST
3390,PI040298AD5I214057,MN37,2018-09-04 9:07:16,2018-10-04 9:07:16,ln7GJkYJoH1535190707803,37.13913081,-8.633390528,,,MB-TEST
3757,PI040298AD5I214003,MN31,2018-09-04 9:07:16,2018-10-04 9:07:16,tiSvZU4Xv81534872148273,37.14040579,-8.63541277,,,MC-TEST
4176,PI040298AD5G202636,SS28,2018-09-04 9:07:16,2018-10-04 9:07:16,qpjvoVkime1534870667080,37.14023255,-8.635353444,,,SW3b-TEST
4186,PI040298AD5I211125,TS03,2018-09-04 9:07:16,2018-10-04 9:07:16,azAU3s8fqb1535215741828,37.13945396,-8.632777664,,,GRID
4630,PI040298AD5I211409,WZ06,2018-09-04 9:07:16,2018-10-04 9:07:16,QQ6doTNm7U1535279369868,0,0,37.138522°,-8.635951°,GRID
4704,PI040298AD5I213836,ER04,2018-09-04 9:07:16,2018-10-04 9:07:16,agl8HPwFpS1535278218371,0,0,37.140972°,-8.631911°,GRID
5151,PI040298AD5I214095,SS34,2018-09-04 9:07:16,2018-10-04 9:07:16,N0Av1q9RBX1535449757766,37.14094531,-8.63192231,,,SW3p-TEST
5176,PI040298AD5I214098,OG05,2018-09-04 9:07:16,2018-10-04 9:07:16,1gnNPEMazq1535217387514,37.13936782,-8.632623589,,,GRID
5181,PI040298AD5I214096,SS27,2018-09-04 9:07:16,2018-10-04 9:07:16,TzVkMzHNuP1535299997107,37.14069132,-8.633142653,,,SW3b-TEST
5208,PI040298AD5I212118,SS48,2018-09-04 9:07:16,2018-10-04 9:07:16,1Ykhp4jNr91535193731465,37.1393913,-8.6329389,,,HPG-CONTROL
5259,PI040298AD5I213228,SS46,2018-09-04 9:07:16,2018-10-04 9:07:16,bP51T7I4eP1535470022826,37.13994046,-8.631761231,,,HPG-CONTROL
5559,PI040298AD5I213031,MN32,2018-09-04 9:07:16,2018-10-04 9:07:16,QOjz7TCuyU1534870967925,37.14023621,-8.635430149,,,MCb-TEST
5654,PI040298AD5I213020,MN13,2018-09-04 9:07:16,2018-10-04 9:07:16,wutSBwVoDP1535219239783,37.13958434,-8.631972931,,,SW-TEST
5738,PI040298AD5I214088,MN44,2018-09-04 9:07:16,2018-10-04 9:07:16,JZ9TXxrjPj1534866346770,37.1402362,-8.634870131,,,MAb-TEST
5766,PI040298AD5I213557,SS19,2018-09-04 9:07:16,2018-10-04 9:07:16,oRdZEjqZC81534873425100,37.14044754,-8.635016509,,,SW2p-TEST
5968,PI040298AD5I213559,FW01,2018-09-04 9:07:16,2018-10-04 9:07:16,GMlIHZ3Woe1535192572102,37.13933631,-8.633137009,,,GRID
5991,PI040298AD5I206247,MN01,2018-09-04 9:07:16,2018-10-04 9:07:16,oQPpcXdSeR1531387325357,37.13945317,-8.630811802,,,GRID
6074,PI040298AD5I212110,SS20,2018-09-04 9:07:16,2018-10-04 9:07:16,slb8cR0rGB1534848896696,37.13996066,-8.63466836,,,SW3a-TEST
6099,PI040298AD5I213524,OG03,2018-09-04 9:07:16,2018-10-04 9:07:16,2s4oP73rSr1535192424694,37.13920612,-8.633161415,,,GRID
6339,PI040298AD5I213006,SS26,2018-09-04 9:07:16,2018-10-04 9:07:16,2okL4KwSOz1535298941239,37.14069283,-8.633818629,,,SW3b-TEST
6401,PI040298AD5I213852,SS02,2018-09-04 9:07:16,2018-10-04 9:07:16,E8HPF1N1Py1535193571285,37.1393913,-8.6329389,,,SW1a-TEST
6442,PI040298AD5I213125,TN07,2018-09-04 9:07:16,2018-10-04 9:07:16,QAHjHbm4wt1535188440361,37.13922088,-8.633568098,,,GRID
6501,PI040298AD5I205993,TN14,2018-09-04 9:07:16,2018-10-04 9:07:16,2OhB59HXPV1533052721808,37.13913599,-8.63555585,,,GRID
6536,PI040298AD5I208445,TN02,2018-09-04 9:07:16,2018-10-04 9:07:16,Ifw170k66Q1533056569306,37.13927026,-8.636140639,,,GRID
6791,PI040298AD5I208794,TN17,2018-09-04 9:07:16,2018-10-04 9:07:16,jw8QLULVYM1533058244803,37.13966131,-8.634818738,,,GRID
9417,PI040298AD5I211342,FR02,2018-09-04 9:07:16,2018-10-04 9:07:16,syYfkQ8xNC1531386630830,0,0,37.140090°,-8.630561°,GRID
9431,PI040298AD5I211334,ER03,2018-09-04 9:07:16,2018-10-04 9:07:16,pUv962F8pH1535216200274,37.13934434,-8.632785563,,,GRID
9545,PI040298AD5I211347,OG07,2018-09-04 9:07:16,2018-10-04 9:07:16,RHwcYx7K101535449524728,37.14087107,-8.632553019,,,GRID
9559,PI040298AD5I211332,TN09,2018-09-04 9:07:16,2018-10-04 9:07:16,c71lkZ0g2A1535299113601,0,0,37.139595°,-8.634825°,GRID
9592,PI040298AD5I211397,SS52,2018-09-04 9:07:16,2018-10-04 9:07:16,0FgVQljsFg1533054246260,37.13959662,-8.634834583,,,GRID
9609,PI040298AD5I211659,SS51,2018-09-04 9:07:16,2018-10-04 9:07:16,75Pso1CQXD1535219775644,37.14015751,-8.631277221,,,GRID
9610,PI040298AD5I211658,SS31,2018-09-04 9:07:16,2018-10-04 9:07:16,2GSZ0xQwt61535219432166,0,0,37.139403°,-8.632735°,SW3p-TEST
A003,PI040298AD5I211458,SS56,2018-09-04 9:07:16,2018-10-04 9:07:16,ZSSob2wl7N1535221323215,37.13920719,-8.631733715,,,GRID
A4F9,PI040298AD5I212913,TN05,2018-09-04 9:07:16,2018-10-04 9:07:16,jOdiVCQTJT1533051347156,37.13942732,-8.635135566,,,GRID
A06F,PI040298AD5I211329,SS43,2018-09-04 9:07:16,2018-10-04 9:07:16,b9y2LYwYn51535218609246,37.13932555,-8.632014799,,,HPG-TEST
A45D,PI040298AD5I210998,,2018-09-04 9:07:16,2018-10-04 9:07:16,9Ksnvh6eL41535276224824,0,0,,,
A45D,PI040298AD5I210998,SB11,2018-09-04 9:07:16,2018-10-04 9:07:16,btugHA2Mqn1535456523021,37.13831354,-8.634885309,,,GRID
